Date,SPY
2011-09-27,0.011121733945301296
2011-09-28,-0.020630176048250747
2011-09-29,0.007872341267173021
2011-09-30,-0.025208763771856067
2011-10-03,-0.025208763771856067
2011-10-04,0.021685550731538824
2011-10-05,0.018346186591776153
2011-10-06,0.017929758304667257
2011-10-07,-0.006718420845335486
2011-10-10,0.022905365602345837
2011-10-11,0.0010031362671273027
2011-10-12,0.008733503390503472
2011-10-13,-0.0019893202102812357
2011-10-14,0.016949461263720718
2011-10-17,-0.019275863925958803
2011-10-18,0.019357423655072228
2011-10-19,-0.011899556396397021
2011-10-20,0.004365901607229776
2011-10-21,0.018809382496328648
2011-10-24,0.012186420646898214
2011-10-25,-0.019635050776359252
2011-10-26,0.010107305208295085
2011-10-27,0.022905365602345837
2011-10-28,-0.00023334100065749115
2011-10-31,-0.024401125802284023
