Date,TSLA
2014-01-24,-0.03875801233074537
2014-01-27,-0.028937066376220014
2014-01-28,0.05035551639417693
2014-01-29,-0.017816712483327782
2014-01-30,0.04251201256750143
2014-01-31,-0.007851771404626026
2014-02-03,-0.02398867199123988
2014-02-04,0.00910526234753232
2014-02-05,-0.02441003584736986
2014-02-06,0.022449916811529916
2014-02-07,0.04467595459365861
2014-02-10,0.05103372909512395
2014-02-11,0.00030518160616122974
2014-02-12,-0.006633723118316568
2014-02-13,0.021826498288108655
2014-02-14,-0.007037745637380403
2014-02-18,0.02722037127652771
2014-02-19,-0.049525178569087704
2014-02-20,0.05103372909512395
2014-02-21,-0.001763719458339394
2014-02-24,0.037687329505505685
2014-02-25,0.05103372909512395
2014-02-26,0.019960780865153502
2014-02-27,-0.0018198179726585445
