date,signal_strategy,equal_weight
2021-09-23,1315957.3890973236,1207382.5831252052
2021-09-24,1321674.5811582685,1209679.102669855
2021-09-27,1326162.524742435,1207930.9018688984
2021-09-28,1287600.1589311128,1177812.7879552937
2021-09-29,1278441.5866125026,1175109.435280839
2021-09-30,1274208.2131775967,1173287.7179467205
2021-10-01,1283490.3758980762,1181078.3725251697
2021-10-04,1263768.9998742333,1160482.484914648
2021-10-05,1276297.636848264,1173508.0629390317
2021-10-06,1276876.4728792473,1180121.222187036
2021-10-07,1291197.6658384502,1188833.110120996
2021-10-08,1284403.6605468334,1184540.6697876973
2021-10-11,1279204.8652251821,1179150.4337362836
2021-10-12,1277016.6887442304,1176053.525766927
2021-10-13,1288585.246402442,1185162.2409529774
2021-10-14,1312876.3318112553,1204343.037097784
2021-10-15,1325714.1673409608,1212230.4910307166
2021-10-18,1350283.292257962,1225933.7712401839
2021-10-19,1353892.100537869,1230997.4967285835
2021-10-20,1348820.6398845043,1229942.6986688718
2021-10-21,1366783.970305099,1239532.9243385948
2021-10-22,1361145.3031209172,1221577.0771930304
2021-10-25,1398472.0572698594,1236751.009050302
2021-10-26,1408740.5237006913,1241028.332326204
2021-10-27,1411696.7384754927,1247293.2981094087
2021-10-28,1431925.0723790457,1258962.677145426
2021-10-29,1450282.8092767796,1266399.6611584132
2021-11-01,1479941.6841789873,1276712.5844501255
2021-11-02,1482138.9062118856,1281206.7544250414
2021-11-03,1498598.908415541,1294269.5391531843
2021-11-04,1540926.991122118,1317818.521975661
2021-11-05,1545095.7922433335,1321774.7778402693
2021-11-08,1571607.0610865084,1328571.7202133406
2021-11-09,1566061.6058935518,1316800.4234584183
2021-11-10,1526193.6355199716,1297642.9692845216
2021-11-11,1533746.558212998,1303693.9801864997
2021-11-12,1549389.5939062177,1313139.6470164391
2021-11-15,1549118.516871722,1310910.772912217
2021-11-16,1555928.1653960685,1319640.8430480072
2021-11-17,1547408.907692606,1319660.9906008805
2021-11-18,1578188.1694805322,1337221.4507612635
2021-11-19,1598820.6738052985,1346622.2142021125
2021-11-22,1587337.7212749214,1335626.9839035782
2021-11-23,1569278.8366982017,1326199.915075304
2021-11-24,1584255.4217867476,1336934.3235915762
2021-11-26,1552617.475936784,1310641.0310896207
2021-11-29,1589854.2399844273,1338759.9792141337
2021-11-30,1575950.4190413055,1324480.2549744288
2021-12-01,1546076.976458612,1301946.5737767606
2021-12-02,1551711.2734498025,1309310.8707415478
2021-12-03,1534366.9938363123,1287838.7983563242
2021-12-06,1550489.6095964757,1295489.7911409556
2021-12-07,1588271.6478243829,1330246.9157050606
2021-12-08,1592678.4947579582,1334125.4575845185
2021-12-09,1574513.6528748183,1313291.339007614
2021-12-10,1584104.7366082394,1320466.2244903592
2021-12-13,1568264.0388837836,1299638.4764323924
2021-12-14,1558246.605507475,1292767.0848001314
2021-12-15,1588554.1578295438,1323915.3986098464
2021-12-16,1556644.3484029216,1294913.3348843236
2021-12-17,1547048.0653636632,1288251.5725623313
2021-12-20,1531329.704675179,1274446.484611672
2021-12-21,1569603.8407148886,1302681.1659248283
2021-12-22,1582386.5764922877,1317349.0495061418
2021-12-23,1589348.8626450733,1329190.7675044145
2021-12-27,1626268.544170991,1351795.3640751604
2021-12-28,1617763.1906947438,1346946.1705215927
2021-12-29,1609095.9047338546,1341116.4660847613
2021-12-30,1596859.834528332,1334583.5616672724
2021-12-31,1575805.7872750224,1325763.15897865
2022-01-03,1594359.0115697829,1352161.179547884
2022-01-04,1582600.2526761824,1336221.9521783888
2022-01-05,1551114.6741838248,1301329.079726738
2022-01-06,1550400.0280281366,1300241.2967191995
2022-01-07,1537100.2642716318,1288289.229919271
2022-01-10,1545670.1248368418,1292995.0969168325
2022-01-11,1565035.3186130703,1309024.9601357016
2022-01-12,1574139.3166188383,1316283.8643448649
2022-01-13,1535837.6478052193,1286496.7906292125
2022-01-14,1545554.9018097091,1297281.7527271134
