Date,BIL
2017-01-04,0.0
2017-01-05,-0.00021834909778978612
2017-01-06,0.00021834909778986486
2017-01-09,0.0
2017-01-10,-0.00021834909778978612
2017-01-11,0.00021834909778986486
2017-01-12,0.0
2017-01-13,0.0
2017-01-17,0.0
2017-01-18,-0.00021834909778978612
2017-01-19,0.0
2017-01-20,0.00021834909778986486
2017-01-23,-0.00021834909778978612
2017-01-24,0.0
2017-01-25,0.00021834909778986486
2017-01-26,0.00021850457526920202
2017-01-27,-0.0004368536730589694
2017-01-30,0.00043685367305905317
2017-01-31,-0.00021850457526925168
2017-02-01,6.583067134616643e-05
2017-02-02,0.0
2017-02-03,-0.00021904598854464375
2017-02-06,0.0004373330515251629
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,-0.00021828706298037773
2017-02-13,0.0
2017-02-14,0.00021828706298043145
2017-02-15,-0.00021828706298037773
2017-02-16,0.0
2017-02-17,0.00021828706298043145
2017-02-21,-0.00021828706298037773
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-27,0.0
2017-02-28,0.00043733882968820476
2017-03-01,-0.0003939620367634111
2017-03-02,0.0
2017-03-03,0.00021919164079882384
2017-03-06,0.0002185343765199275
2017-03-07,-0.0004377260173186544
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.00021919164079882384
2017-03-13,-0.0002191916407987477
2017-03-14,0.0
2017-03-15,0.00021919164079882384
2017-03-16,0.0002185343765199275
2017-03-17,0.0
2017-03-20,-0.00021853437651992526
2017-03-21,0.0002185343765199275
2017-03-22,0.0
2017-03-23,-0.00021853437651992526
2017-03-24,0.0002185343765199275
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,-0.00021853437651992526
2017-04-03,8.723668857713733e-05
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.00021892143305924866
