Date,INTC
2013-09-03,0.004086096994972538
2013-09-04,0.02549845686802203
2013-09-05,-0.0017677890765285856
2013-09-06,0.003092439546897081
2013-09-09,0.010531227790841095
2013-09-10,0.003050433313793494
2013-09-11,-0.0074250975383563815
2013-09-12,-0.00792223922146041
2013-09-13,0.035166911008439605
2013-09-16,-0.002134986526686731
2013-09-17,0.014852568805732607
2013-09-18,0.006716906773902979
2013-09-19,0.0004184612966502093
2013-09-20,-0.0058721662547409365
2013-09-23,-0.006330820948783173
2013-09-24,0.0033815922672739457
2013-09-25,0.0
2013-09-26,-0.012311779096837538
2013-09-27,-0.018539350565133866
2013-09-30,-0.0026140063298948253
2013-10-01,-0.003934489932766329
2013-10-02,0.0026241847611567595
2013-10-03,-0.012749789150027306
2013-10-04,0.009249003113175315
2013-10-07,0.0008766012756952095
2013-10-08,-0.015449872709448734
2013-10-09,0.00488177502523198
2013-10-10,0.02232498089791764
2013-10-11,0.006902695983524549
2013-10-14,0.008135714974679164
2013-10-15,-0.002562210187307462
2013-10-16,0.013166541940035399
2013-10-17,0.00923978942578187
2013-10-18,-0.0016735452000589592
2013-10-21,0.010828634696342267
2013-10-22,-0.0029038526658827515
2013-10-23,-0.013804999390485162
2013-10-24,0.0016838421633613438
2013-10-25,0.019159148586282558
2013-10-28,0.004938213772144294
2013-10-29,0.006546825124384305
2013-10-30,-0.0008163696447667827
2013-10-31,-0.0012251177603468202
2013-11-01,-0.005737606861189239
2013-11-04,-0.002881355957039311
2013-11-05,-0.00020800465817595164
2013-11-06,0.009113530178871456
2013-11-07,-0.00786551111355734
2013-11-08,0.0012458246409359352
2013-11-11,0.0033153738157540628
2013-11-12,0.010699913082080723
2013-11-13,0.006934247486773029
2013-11-14,-0.008573075792654492
2013-11-15,0.005315747834290125
2013-11-18,0.003257327958364317
2013-11-19,0.004056821801234111
2013-11-20,-0.005684316155190256
2013-11-21,0.026914974738323404
2013-11-22,-0.049525178569087704
2013-11-25,-0.005039525175414767
2013-11-26,-0.004219869205493389
2013-11-27,0.010515129595488185
2013-11-29,-0.0025132644539391617
2013-12-02,-0.005890083402145332
2013-12-03,-0.006349098089094632
2013-12-04,0.00803527520238997
2013-12-05,0.021667652656040624
2013-12-06,0.02282085181051889
2013-12-09,0.004422460310925857
2013-12-10,-0.00442246031092594
2013-12-11,-0.016247188713732142
2013-12-12,0.002045367051779585
2013-12-13,-0.0073831523916395615
2013-12-16,0.006565465564996662
2013-12-17,0.008552233320745254
2013-12-18,0.019675696731706514
2013-12-19,-0.00039770559386240753
2013-12-20,-0.0031876587705681474
2013-12-23,0.010321764707854276
2013-12-24,0.0043352170969264085
2013-12-26,0.010561436249413417
2013-12-27,-0.003898660297526231
2013-12-30,0.009718249275132125
2013-12-31,0.00424622361359771
2014-01-02,-0.0065698773314532884
2014-01-03,-0.0003879337533406077
2014-01-06,-0.012490589293135249
2014-01-07,0.005093214155828792
2014-01-08,-0.006272062618516597
2014-01-09,-0.004730150725753845
2014-01-10,0.008654420719651858
2014-01-13,-0.0011757151467786224
2014-01-14,0.03884407499208941
2014-01-15,0.006017308968930275
2014-01-16,-0.0048864590880689784
2014-01-17,-0.026342454493050713
2014-01-21,-0.010108962608502583
