Date,AMD
2014-01-29,-0.017094417102432247
2014-01-30,0.0
2014-01-31,-0.014472018626680341
2014-02-03,-0.02958799955933195
2014-02-04,0.01194042932428301
2014-02-05,-0.017964538303716717
2014-02-06,0.029764144363891295
2014-02-07,0.017442285738075665
2014-02-10,0.04507807759939181
2014-02-11,0.01910015273448682
2014-02-12,-0.002706358978334304
2014-02-13,0.0027063589783342767
2014-02-14,-0.002706358978334304
2014-02-18,0.0027063589783342767
2014-02-19,0.005390843438307659
2014-02-20,-0.00809720241664192
2014-02-21,0.0
2014-02-24,0.005405413342211417
2014-02-25,-0.005405413342211486
2014-02-26,0.0027063589783342767
2014-02-27,0.0026990543638770567
2014-02-28,0.0
2014-03-03,-0.010840204046526929
2014-03-04,0.008141149682649703
2014-03-05,0.0026990543638770567
