Date,QQQ
2011-09-28,-0.014925625571704645
2011-09-29,-0.011991958013722914
2011-09-30,-0.025208763771856067
2011-10-03,-0.025208763771856067
2011-10-04,0.020323569034476987
2011-10-05,0.022905365602345837
2011-10-06,0.01667304396594758
2011-10-07,-0.0066357203997678
2011-10-10,0.022905365602345837
2011-10-11,0.006770320969909191
2011-10-12,0.004959111994840746
2011-10-13,0.009145393855900462
2011-10-14,0.018387378969960382
2011-10-17,-0.0155904806475794
2011-10-18,0.01231956404292967
2011-10-19,-0.019503191546855665
2011-10-20,-0.004935663775282001
2011-10-21,0.012468768806327364
2011-10-24,0.02055499275213095
2011-10-25,-0.019857307895001154
2011-10-26,-0.0012216075418076421
2011-10-27,0.022905365602345837
2011-10-28,0.0015280677364947078
2011-10-31,-0.01693952906068571
