Date,HYG
2014-01-17,0.00021345643373589762
2014-01-21,0.0012788648424817976
2014-01-22,-0.001492321276217631
2014-01-23,-0.0012809293608069513
2014-01-24,-0.006643602932654933
2014-01-27,-0.0003223938127385711
2014-01-28,0.004399435830613965
2014-01-29,-0.003001654941607437
2014-01-30,0.0017164004876200813
2014-01-31,-0.00032157188556062693
2014-02-03,-0.0030009273046258727
2014-02-04,0.00118853583112943
2014-02-05,0.0
2014-02-06,0.003556847689924677
2014-02-07,0.005043464804490533
2014-02-10,0.0006415966508969205
2014-02-11,0.0017110260532213401
2014-02-12,-0.0016035472564828904
2014-02-13,0.002884536248853469
2014-02-14,0.0015979428614577133
2014-02-18,0.0013833229273614597
2014-02-19,-0.0025552941307533583
2014-02-20,0.003086335686635841
2014-02-21,0.0008504463191789045
